dep_id,application_id,application_name,library,version,is_risky,risk_type,severity,score,explanation
DEP-0011,APP-001,CustomerPortal,jackson-annotations,5.0.6,True,VULNERABLE_DEPENDENCY,HIGH,8.0,"jackson-annotations:5.0.6 has CVE-2023-1017 (CVSS 8.0, HIGH). Patched in 5.5.0. [risk model confidence: 90%]"
DEP-0012,APP-001,CustomerPortal,resilience4j,1.8.0,False,NONE,NONE,0.0,
DEP-0013,APP-001,CustomerPortal,slf4j-api,2.8.8,False,NONE,NONE,0.0,
DEP-0014,APP-001,CustomerPortal,go-jwt,5.10.5,True,LICENSE_UNKNOWN,HIGH,3.0,go-jwt has no declared license — legal status unknown.
DEP-0015,APP-001,CustomerPortal,spring-security-core,1.2.0,True,VULNERABLE_DEPENDENCY,LOW,3.3,"spring-security-core:1.2.0 has CVE-2024-1104 (CVSS 3.3, LOW). Patched in 3.4.0. [risk model confidence: 79%]"
DEP-0016,APP-001,CustomerPortal,snakeyaml,3.1.0,False,NONE,NONE,0.0,
DEP-0017,APP-001,CustomerPortal,opentelemetry-api,4.10.2,False,NONE,NONE,0.0,
DEP-0018,APP-001,CustomerPortal,logback-core,3.4.2,False,NONE,NONE,0.0,
DEP-0019,APP-001,CustomerPortal,pyyaml,5.7.10,True,VULNERABLE_DEPENDENCY,CRITICAL,9.3,"pyyaml:5.7.10 has CVE-2022-1069 (CVSS 9.3, CRITICAL). Patched in 5.10.0. [risk model confidence: 100%]"
DEP-0020,APP-001,CustomerPortal,jackson-databind,1.1.6,False,NONE,NONE,0.0,
DEP-0021,APP-001,CustomerPortal,caffeine,2.5.7,True,VULNERABLE_DEPENDENCY,MEDIUM,5.5,"caffeine:2.5.7 has CVE-2022-1085 (CVSS 5.5, MEDIUM). Patched in 4.7.0. [risk model confidence: 85%]"
DEP-0022,APP-001,CustomerPortal,log4j-core,2.2.8,False,NONE,NONE,0.0,
DEP-0023,APP-001,CustomerPortal,grpc-core,2.1.1,False,NONE,NONE,0.0,
DEP-0024,APP-001,CustomerPortal,jedis,3.9.3,True,VULNERABLE_DEPENDENCY,LOW,1.1,"jedis:3.9.3 has CVE-2025-1195 (CVSS 1.1, LOW). Patched in 6.0.0. [risk model confidence: 55%]"
DEP-0025,APP-001,CustomerPortal,jetty-server,2.3.0,False,NONE,NONE,0.0,
DEP-0026,APP-001,CustomerPortal,commons-lang3,4.11.2,False,NONE,NONE,0.0,
DEP-0027,APP-001,CustomerPortal,mockito-core,1.2.10,True,VULNERABLE_DEPENDENCY,HIGH,13.05,"mockito-core:1.2.10 has CVE-2025-1076 (CVSS 8.7, HIGH). No patch available. [risk model confidence: 83%]"
DEP-0028,APP-001,CustomerPortal,junit-jupiter,4.1.8,True,UNMAINTAINED,LOW,2.0,"junit-jupiter last updated 2024-03-30, over 2 years old. [risk model confidence: 99%]"
DEP-0029,APP-001,CustomerPortal,hibernate-validator,1.13.1,True,VULNERABLE_DEPENDENCY,CRITICAL,9.7,"hibernate-validator:1.13.1 has CVE-2024-1060 (CVSS 9.7, CRITICAL). Patched in 2.8.0. [risk model confidence: 100%]"
DEP-0030,APP-001,CustomerPortal,guava,1.2.6,False,NONE,NONE,0.0,
DEP-0031,APP-001,CustomerPortal,h2-database,5.3.1,False,NONE,NONE,0.0,
DEP-0032,APP-001,CustomerPortal,mapstruct,4.15.0,False,NONE,NONE,0.0,
DEP-0033,APP-001,CustomerPortal,kafka-clients,4.8.5,True,LICENSE_CONFLICT,CRITICAL,8.0,GPL-3.0 license is incompatible with proprietary app CustomerPortal.
DEP-0034,APP-001,CustomerPortal,mysql-connector-java,4.2.3,False,NONE,NONE,0.0,
DEP-0035,APP-001,CustomerPortal,sarama,5.0.2,True,UNMAINTAINED,LOW,2.0,"sarama last updated 2020-04-13, over 2 years old. [risk model confidence: 99%]"
DEP-0036,APP-001,CustomerPortal,tomcat-embed-core,2.7.8,False,NONE,NONE,0.0,
DEP-0037,APP-001,CustomerPortal,fabric,3.0.6,False,NONE,NONE,0.0,
DEP-0038,APP-001,CustomerPortal,commons-io,2.4.6,False,NONE,NONE,0.0,
DEP-0039,APP-001,CustomerPortal,spring-core,2.9.0,False,NONE,NONE,0.0,
DEP-0040,APP-001,CustomerPortal,assertj-core,3.6.6,False,NONE,NONE,0.0,
DEP-0041,APP-001,CustomerPortal,jackson-core,4.9.1,True,TRANSITIVE_LICENSE_CONFLICT,CRITICAL,6.0,"AGPL-3.0 license is incompatible with proprietary app CustomerPortal. Pulled in transitively via lombok:4.1.2, snakeyaml:3.1.0."
DEP-0042,APP-001,CustomerPortal,hibernate-core,3.4.1,True,ELEVATED_RISK,LOW,1.12,"hibernate-core flagged by the risk model on combined signal strength (no single dominant factor -- age 386 days, exploitability/patch history considered together) [confidence: 66%]."
DEP-0043,APP-001,CustomerPortal,disruptor,2.2.8,True,ELEVATED_RISK,LOW,1.12,"disruptor flagged by the risk model on combined signal strength (no single dominant factor -- age 55 days, exploitability/patch history considered together) [confidence: 89%]."
DEP-0044,APP-001,CustomerPortal,spring-web,2.11.0,False,NONE,NONE,0.0,
DEP-0045,APP-001,CustomerPortal,logback-classic,4.11.0,True,UNMAINTAINED,LOW,1.5,"logback-classic last updated 2024-01-27, over 2 years old. [risk model confidence: 99%]"
DEP-0046,APP-001,CustomerPortal,eslint,2.10.8,False,NONE,NONE,0.0,
DEP-0047,APP-001,CustomerPortal,aws-sdk-s3,2.4.1,False,NONE,NONE,0.0,
DEP-0048,APP-001,CustomerPortal,crypto-go,3.10.1,False,NONE,NONE,0.0,
DEP-0049,APP-001,CustomerPortal,httpcore,3.4.4,False,NONE,NONE,0.0,
DEP-0050,APP-001,CustomerPortal,netty-handler,1.7.3,True,TRANSITIVE_VULNERABILITY,MEDIUM,4.12,"netty-handler:1.7.3 has CVE-2023-1080 (CVSS 5.5, MEDIUM). Patched in 1.10.0. Pulled in transitively via jetty-server:2.3.0, guava:1.2.6, mapstruct:4.15.0. [risk model confidence: 86%]"
DEP-0051,APP-002,PaymentService,caffeine,4.4.5,True,VULNERABLE_DEPENDENCY,MEDIUM,5.5,"caffeine:4.4.5 has CVE-2022-1085 (CVSS 5.5, MEDIUM). Patched in 4.7.0. [risk model confidence: 84%]"
DEP-0052,APP-002,PaymentService,aws-sdk-s3,2.0.9,True,VULNERABLE_DEPENDENCY,MEDIUM,4.1,"aws-sdk-s3:2.0.9 has CVE-2021-1093 (CVSS 4.1, MEDIUM). Patched in 3.2.0. [risk model confidence: 99%]"
DEP-0053,APP-002,PaymentService,resilience4j,5.1.10,False,NONE,NONE,0.0,
DEP-0054,APP-002,PaymentService,snakeyaml,3.15.2,True,VULNERABLE_DEPENDENCY,HIGH,8.4,"snakeyaml:3.15.2 has CVE-2024-1013 (CVSS 8.4, HIGH). Patched in 4.4.0. [risk model confidence: 93%]"
DEP-0055,APP-002,PaymentService,vue,3.3.1,False,NONE,NONE,0.0,
DEP-0056,APP-002,PaymentService,httpcore,5.15.3,False,NONE,NONE,0.0,
DEP-0057,APP-002,PaymentService,logback-core,4.9.4,False,NONE,NONE,0.0,
DEP-0058,APP-002,PaymentService,grpc-core,3.11.7,False,NONE,NONE,0.0,
DEP-0059,APP-002,PaymentService,httpclient,4.14.4,False,NONE,NONE,0.0,
DEP-0060,APP-002,PaymentService,guava,1.5.1,False,NONE,NONE,0.0,
DEP-0061,APP-002,PaymentService,aws-sdk-sqs,2.15.7,False,NONE,NONE,0.0,
DEP-0062,APP-002,PaymentService,redis-py,4.11.10,False,NONE,NONE,0.0,
DEP-0063,APP-002,PaymentService,jedis,2.15.7,True,VULNERABLE_DEPENDENCY,LOW,1.1,"jedis:2.15.7 has CVE-2025-1195 (CVSS 1.1, LOW). Patched in 6.0.0. [risk model confidence: 84%]"
DEP-0064,APP-002,PaymentService,spring-boot-starter,4.7.1,False,NONE,NONE,0.0,
DEP-0065,APP-002,PaymentService,spring-web,4.0.1,True,LICENSE_UNKNOWN,HIGH,3.0,spring-web has no declared license — legal status unknown.
DEP-0066,APP-002,PaymentService,hibernate-validator,4.10.5,True,VULNERABLE_DEPENDENCY,MEDIUM,7.8,"hibernate-validator:4.10.5 has CVE-2021-1061 (CVSS 5.2, MEDIUM). No patch available. [risk model confidence: 94%]"
DEP-0067,APP-002,PaymentService,assertj-core,2.0.5,True,VULNERABLE_DEPENDENCY,MEDIUM,7.5,"assertj-core:2.0.5 has CVE-2024-1118 (CVSS 5.0, MEDIUM). No patch available. [risk model confidence: 74%]"
DEP-0068,APP-002,PaymentService,jackson-core,4.3.4,False,NONE,NONE,0.0,
DEP-0069,APP-002,PaymentService,netty-all,5.4.7,True,LICENSE_CONFLICT,CRITICAL,8.0,AGPL-3.0 license is incompatible with proprietary app PaymentService.
DEP-0070,APP-002,PaymentService,tomcat-embed-core,5.10.8,False,NONE,NONE,0.0,
DEP-0071,APP-002,PaymentService,postgresql-jdbc,2.13.9,False,NONE,NONE,0.0,
DEP-0072,APP-002,PaymentService,slf4j-api,2.5.8,False,NONE,NONE,0.0,
DEP-0073,APP-002,PaymentService,micrometer-core,5.9.6,True,VULNERABLE_DEPENDENCY,MEDIUM,9.15,"micrometer-core:5.9.6 has CVE-2026-1050 (CVSS 6.1, MEDIUM). No patch available. [risk model confidence: 99%]"
DEP-0074,APP-002,PaymentService,mapstruct,2.9.10,False,NONE,NONE,0.0,
DEP-0075,APP-002,PaymentService,golangci-lint,4.3.9,False,NONE,NONE,0.0,
DEP-0076,APP-002,PaymentService,hibernate-core,3.1.6,True,ELEVATED_RISK,LOW,1.5,"hibernate-core flagged by the risk model on combined signal strength (no single dominant factor -- age 614 days, exploitability/patch history considered together) [confidence: 80%]."
DEP-0077,APP-002,PaymentService,jackson-databind,2.11.9,True,VULNERABLE_DEPENDENCY,MEDIUM,10.35,"jackson-databind:2.11.9 has CVE-2025-1003 (CVSS 6.9, MEDIUM). No patch available. [risk model confidence: 62%]"
DEP-0078,APP-002,PaymentService,kafka-clients,1.10.7,False,NONE,NONE,0.0,
DEP-0079,APP-002,PaymentService,log4j-api,5.11.1,True,VULNERABLE_DEPENDENCY,MEDIUM,9.45,"log4j-api:5.11.1 has CVE-2022-1041 (CVSS 6.3, MEDIUM). No patch available. [risk model confidence: 61%]"
DEP-0080,APP-002,PaymentService,psycopg2,1.11.3,False,NONE,NONE,0.0,
DEP-0081,APP-002,PaymentService,commons-collections4,3.14.3,False,NONE,NONE,0.0,
DEP-0082,APP-002,PaymentService,junit-jupiter,5.9.0,False,NONE,NONE,0.0,
DEP-0083,APP-002,PaymentService,jetty-server,2.10.8,False,NONE,NONE,0.0,
DEP-0084,APP-002,PaymentService,mysql-connector-java,1.6.8,False,NONE,NONE,0.0,
DEP-0085,APP-002,PaymentService,bouncycastle-bcprov,2.8.8,True,VULNERABLE_DEPENDENCY,MEDIUM,4.6,"bouncycastle-bcprov:2.8.8 has CVE-2025-1010 (CVSS 4.6, MEDIUM). Patched in 4.9.0. [risk model confidence: 88%]"
DEP-0086,APP-002,PaymentService,h2-database,1.12.0,True,UNMAINTAINED,LOW,1.5,"h2-database last updated 2023-11-05, over 2 years old. [risk model confidence: 99%]"
DEP-0087,APP-002,PaymentService,jackson-annotations,3.9.1,True,TRANSITIVE_VULNERABILITY,HIGH,6.0,"jackson-annotations:3.9.1 has CVE-2023-1017 (CVSS 8.0, HIGH). Patched in 5.5.0. Pulled in transitively via jackson-core:4.3.4, jackson-databind:2.11.9. [risk model confidence: 98%]"
DEP-0088,APP-002,PaymentService,testify,2.2.6,True,TRANSITIVE_VULNERABILITY,CRITICAL,7.43,"testify:2.2.6 has CVE-2025-1043 (CVSS 9.9, CRITICAL). Patched in 2.11.0. Pulled in transitively via jackson-databind:2.11.9, mysql-connector-java:1.6.8. [risk model confidence: 92%]"
DEP-0089,APP-002,PaymentService,morgan,3.0.8,True,TRANSITIVE_VULNERABILITY,MEDIUM,5.17,"morgan:3.0.8 has CVE-2025-1105 (CVSS 4.6, MEDIUM). No patch available. Pulled in transitively via jetty-server:2.10.8. [risk model confidence: 99%]"
DEP-0090,APP-002,PaymentService,protobuf-java,3.3.5,False,NONE,NONE,0.0,
DEP-0091,APP-002,PaymentService,disruptor,2.3.4,False,NONE,NONE,0.0,
DEP-0092,APP-002,PaymentService,commons-lang3,4.10.8,True,UNMAINTAINED,LOW,1.5,"commons-lang3 last updated 2024-01-26, over 2 years old. [risk model confidence: 97%]"
DEP-0093,APP-002,PaymentService,commons-codec,3.5.2,False,NONE,NONE,0.0,
DEP-0094,APP-002,PaymentService,logback-classic,3.7.7,False,NONE,NONE,0.0,
DEP-0095,APP-002,PaymentService,lombok,3.12.5,False,NONE,NONE,0.0,
DEP-0096,APP-002,PaymentService,log4j-core,4.4.5,False,NONE,NONE,0.0,
DEP-0097,APP-002,PaymentService,spring-core,3.7.8,False,NONE,NONE,0.0,
DEP-0098,APP-002,PaymentService,aiohttp,2.4.1,False,NONE,NONE,0.0,
DEP-0099,APP-002,PaymentService,netty-handler,4.12.3,True,TRANSITIVE_VULNERABILITY,MEDIUM,5.29,"netty-handler:4.12.3 has CVE-2024-1081 (CVSS 4.7, MEDIUM). No patch available. Pulled in transitively via jackson-databind:2.11.9. [risk model confidence: 85%]"
DEP-0100,APP-002,PaymentService,bandit,3.6.3,True,TRANSITIVE_VULNERABILITY,HIGH,9.56,"bandit:3.6.3 has CVE-2024-1198 (CVSS 8.5, HIGH). No patch available. Pulled in transitively via postgresql-jdbc:2.13.9. [risk model confidence: 76%]"
DEP-0101,APP-003,InternalAPI,requests,4.15.9,True,LICENSE_CONFLICT,CRITICAL,8.0,GPL-2.0 license is incompatible with proprietary app InternalAPI.
DEP-0102,APP-003,InternalAPI,pip,2.4.2,True,VULNERABLE_DEPENDENCY,HIGH,8.6,"pip:2.4.2 has CVE-2024-1184 (CVSS 8.6, HIGH). Patched in 3.0.0. [risk model confidence: 77%]"
DEP-0103,APP-003,InternalAPI,twisted,2.5.2,True,LICENSE_UNKNOWN,HIGH,3.0,twisted has no declared license — legal status unknown.
DEP-0104,APP-003,InternalAPI,setuptools,2.12.9,False,NONE,NONE,0.0,
DEP-0105,APP-003,InternalAPI,numpy,5.8.2,True,VULNERABLE_DEPENDENCY,HIGH,7.4,"numpy:5.8.2 has CVE-2022-1148 (CVSS 7.4, HIGH). Patched in 6.0.0. [risk model confidence: 99%]"
DEP-0106,APP-003,InternalAPI,aws-sdk-s3,5.13.2,True,UNMAINTAINED,LOW,2.0,"aws-sdk-s3 last updated 2022-12-24, over 2 years old. [risk model confidence: 99%]"
DEP-0107,APP-003,InternalAPI,junit-jupiter,4.13.5,False,NONE,NONE,0.0,
DEP-0108,APP-003,InternalAPI,black,3.15.3,True,VULNERABLE_DEPENDENCY,MEDIUM,9.15,"black:3.15.3 has CVE-2024-1052 (CVSS 6.1, MEDIUM). No patch available. [risk model confidence: 58%]"
DEP-0109,APP-003,InternalAPI,psycopg2,1.3.8,True,LICENSE_CONFLICT,CRITICAL,8.0,AGPL-3.0 license is incompatible with proprietary app InternalAPI.
DEP-0110,APP-003,InternalAPI,pydantic,5.8.4,True,VULNERABLE_DEPENDENCY,HIGH,10.95,"pydantic:5.8.4 has CVE-2022-1181 (CVSS 7.3, HIGH). No patch available. [risk model confidence: 78%]"
DEP-0111,APP-003,InternalAPI,log4j-api,2.3.3,True,VULNERABLE_DEPENDENCY,MEDIUM,9.45,"log4j-api:2.3.3 has CVE-2022-1041 (CVSS 6.3, MEDIUM). No patch available. [risk model confidence: 62%]"
DEP-0112,APP-003,InternalAPI,paramiko,1.2.4,False,NONE,NONE,0.0,
DEP-0113,APP-003,InternalAPI,markupsafe,2.15.7,True,LICENSE_CONFLICT,CRITICAL,8.0,AGPL-3.0 license is incompatible with proprietary app InternalAPI.
DEP-0114,APP-003,InternalAPI,pandas,5.5.10,True,UNMAINTAINED,LOW,2.0,"pandas last updated 2021-07-19, over 2 years old. [risk model confidence: 99%]"
DEP-0115,APP-003,InternalAPI,bandit,1.2.8,True,VULNERABLE_DEPENDENCY,HIGH,12.75,"bandit:1.2.8 has CVE-2024-1198 (CVSS 8.5, HIGH). No patch available. [risk model confidence: 57%]"
DEP-0116,APP-003,InternalAPI,cryptography,4.12.9,True,LICENSE_CONFLICT,CRITICAL,8.0,GPL-2.0 license is incompatible with proprietary app InternalAPI.
DEP-0117,APP-003,InternalAPI,sqlalchemy,5.8.8,True,VULNERABLE_DEPENDENCY,LOW,4.65,"sqlalchemy:5.8.8 has CVE-2024-1183 (CVSS 3.1, LOW). No patch available. [risk model confidence: 75%]"
DEP-0118,APP-003,InternalAPI,redis-py,2.10.6,False,NONE,NONE,0.0,
DEP-0119,APP-003,InternalAPI,pyyaml,2.15.5,True,VULNERABLE_DEPENDENCY,CRITICAL,9.3,"pyyaml:2.15.5 has CVE-2022-1069 (CVSS 9.3, CRITICAL). Patched in 5.10.0. [risk model confidence: 91%]"
DEP-0120,APP-003,InternalAPI,node-fetch,2.11.2,False,NONE,NONE,0.0,
DEP-0121,APP-003,InternalAPI,httpx,4.5.8,True,VULNERABLE_DEPENDENCY,CRITICAL,9.7,"httpx:4.5.8 has CVE-2023-1097 (CVSS 9.7, CRITICAL). Patched in 4.7.0. [risk model confidence: 94%]"
DEP-0122,APP-003,InternalAPI,coverage,2.14.1,False,NONE,NONE,0.0,
DEP-0123,APP-003,InternalAPI,zap,2.8.3,True,VULNERABLE_DEPENDENCY,CRITICAL,9.5,"zap:2.8.3 has CVE-2021-1014 (CVSS 9.5, CRITICAL). Patched in 5.3.0. [risk model confidence: 75%]"
DEP-0124,APP-003,InternalAPI,fastapi,5.4.9,False,NONE,NONE,0.0,
DEP-0125,APP-003,InternalAPI,mocha,2.10.7,True,UNMAINTAINED,LOW,2.0,"mocha last updated 2020-11-30, over 2 years old. [risk model confidence: 99%]"
DEP-0126,APP-003,InternalAPI,jinja2,3.15.10,False,NONE,NONE,0.0,
DEP-0127,APP-003,InternalAPI,python-dateutil,5.6.9,False,NONE,NONE,0.0,
DEP-0128,APP-003,InternalAPI,flask,5.9.7,False,NONE,NONE,0.0,
DEP-0129,APP-003,InternalAPI,wheel,2.10.3,False,NONE,NONE,0.0,
DEP-0130,APP-003,InternalAPI,certifi,2.0.2,True,VULNERABLE_DEPENDENCY,LOW,1.4,"certifi:2.0.2 has CVE-2022-1168 (CVSS 1.4, LOW). Patched in 3.0.0. [risk model confidence: 82%]"
DEP-0131,APP-003,InternalAPI,botocore,4.1.0,False,NONE,NONE,0.0,
DEP-0132,APP-003,InternalAPI,rich,4.9.3,False,NONE,NONE,0.0,
DEP-0133,APP-003,InternalAPI,ansible-core,3.10.7,True,VULNERABLE_DEPENDENCY,MEDIUM,9.45,"ansible-core:3.10.7 has CVE-2025-1141 (CVSS 6.3, MEDIUM). No patch available. [risk model confidence: 74%]"
DEP-0134,APP-003,InternalAPI,pyjwt,5.13.8,True,VULNERABLE_DEPENDENCY,HIGH,10.95,"pyjwt:5.13.8 has CVE-2025-1123 (CVSS 7.3, HIGH). No patch available. [risk model confidence: 86%]"
DEP-0135,APP-003,InternalAPI,fabric,5.4.5,False,NONE,NONE,0.0,
DEP-0136,APP-003,InternalAPI,colly,3.9.3,False,NONE,NONE,0.0,
DEP-0137,APP-003,InternalAPI,click,4.6.3,True,TRANSITIVE_VULNERABILITY,MEDIUM,6.75,"click:4.6.3 has CVE-2024-1039 (CVSS 6.0, MEDIUM). No patch available. Pulled in transitively via numpy:5.8.2, aws-sdk-s3:5.13.2, psycopg2:1.3.8. [risk model confidence: 77%]"
DEP-0138,APP-003,InternalAPI,celery,2.8.4,False,NONE,NONE,0.0,
DEP-0139,APP-003,InternalAPI,uvicorn,2.2.4,False,NONE,NONE,0.0,
DEP-0140,APP-003,InternalAPI,safety,4.3.5,True,TRANSITIVE_LICENSE_CONFLICT,CRITICAL,6.0,GPL-2.0 license is incompatible with proprietary app InternalAPI.
DEP-0141,APP-003,InternalAPI,idna,2.1.4,True,TRANSITIVE_VULNERABILITY,MEDIUM,4.12,"idna:2.1.4 has CVE-2021-1088 (CVSS 5.5, MEDIUM). Patched in 5.6.0. Pulled in transitively via pandas:5.5.10, coverage:2.14.1, pyjwt:5.13.8. [risk model confidence: 100%]"
DEP-0142,APP-003,InternalAPI,boto3,2.5.6,True,TRANSITIVE_VULNERABILITY,MEDIUM,4.65,"boto3:2.5.6 has CVE-2025-1155 (CVSS 6.2, MEDIUM). Patched in 4.0.0. Pulled in transitively via pydantic:5.8.4, jinja2:3.15.10. [risk model confidence: 81%]"
DEP-0143,APP-003,InternalAPI,django,1.4.6,False,NONE,NONE,0.0,
DEP-0144,APP-003,InternalAPI,werkzeug,1.1.3,True,TRANSITIVE_VULNERABILITY,MEDIUM,6.3,"werkzeug:1.1.3 has CVE-2024-1004 (CVSS 5.6, MEDIUM). No patch available. Pulled in transitively via pydantic:5.8.4, paramiko:1.2.4, cryptography:4.12.9, node-fetch:2.11.2, httpx:4.5.8. [risk model confidence: 96%]"
DEP-0145,APP-003,InternalAPI,urllib3,2.7.6,True,TRANSITIVE_VULNERABILITY,MEDIUM,4.5,"urllib3:2.7.6 has CVE-2023-1140 (CVSS 6.0, MEDIUM). Patched in 3.0.0. Pulled in transitively via setuptools:2.12.9, log4j-api:2.3.3, flask:5.9.7. [risk model confidence: 99%]"
DEP-0146,APP-003,InternalAPI,scikit-learn,3.7.4,True,TRANSITIVE_VULNERABILITY,MEDIUM,3.82,"scikit-learn:3.7.4 has CVE-2022-1008 (CVSS 5.1, MEDIUM). Patched in 4.3.0. Pulled in transitively via pip:2.4.2, pandas:5.5.10. [risk model confidence: 63%]"
DEP-0147,APP-003,InternalAPI,gunicorn,3.0.2,False,NONE,NONE,0.0,
DEP-0148,APP-003,InternalAPI,go-redis,4.11.2,True,TRANSITIVE_VULNERABILITY,HIGH,9.45,"go-redis:4.11.2 has CVE-2024-1128 (CVSS 8.4, HIGH). No patch available. Pulled in transitively via junit-jupiter:4.13.5, sqlalchemy:5.8.8, zap:2.8.3, wheel:2.10.3. [risk model confidence: 93%]"
DEP-0149,APP-003,InternalAPI,pytest,1.5.2,False,NONE,NONE,0.0,
DEP-0150,APP-003,InternalAPI,pillow,3.12.7,True,LICENSE_UNKNOWN,HIGH,2.25,pillow has no declared license — legal status unknown.
DEP-0151,APP-004,HRPortal,coverage,5.12.10,False,NONE,NONE,0.0,
DEP-0152,APP-004,HRPortal,morgan,4.11.0,False,NONE,NONE,0.0,
DEP-0153,APP-004,HRPortal,sqlalchemy,5.13.1,True,VULNERABLE_DEPENDENCY,LOW,4.65,"sqlalchemy:5.13.1 has CVE-2024-1183 (CVSS 3.1, LOW). No patch available. [risk model confidence: 76%]"
DEP-0154,APP-004,HRPortal,paramiko,5.10.10,False,NONE,NONE,0.0,
DEP-0155,APP-004,HRPortal,gunicorn,3.11.7,False,NONE,NONE,0.0,
DEP-0156,APP-004,HRPortal,numpy,1.9.3,True,VULNERABLE_DEPENDENCY,HIGH,7.4,"numpy:1.9.3 has CVE-2022-1148 (CVSS 7.4, HIGH). Patched in 6.0.0. [risk model confidence: 74%]"
DEP-0157,APP-004,HRPortal,pytest,2.8.5,True,UNMAINTAINED,LOW,2.0,"pytest last updated 2022-03-29, over 2 years old. [risk model confidence: 99%]"
DEP-0158,APP-004,HRPortal,python-dateutil,2.15.9,False,NONE,NONE,0.0,
DEP-0159,APP-004,HRPortal,cors,4.13.1,False,NONE,NONE,0.0,
DEP-0160,APP-004,HRPortal,django,2.10.8,False,NONE,NONE,0.0,
DEP-0161,APP-004,HRPortal,mypy,2.4.5,True,VULNERABLE_DEPENDENCY,MEDIUM,4.7,"mypy:2.4.5 has CVE-2022-1175 (CVSS 4.7, MEDIUM). Patched in 5.0.0. [risk model confidence: 83%]"
DEP-0162,APP-004,HRPortal,boto3,4.6.8,True,ELEVATED_RISK,LOW,1.5,"boto3 flagged by the risk model on combined signal strength (no single dominant factor -- age 229 days, exploitability/patch history considered together) [confidence: 60%]."
DEP-0163,APP-004,HRPortal,httpx,3.6.5,True,VULNERABLE_DEPENDENCY,CRITICAL,9.7,"httpx:3.6.5 has CVE-2023-1097 (CVSS 9.7, CRITICAL). Patched in 4.7.0. [risk model confidence: 97%]"
DEP-0164,APP-004,HRPortal,scipy,1.3.0,True,VULNERABLE_DEPENDENCY,LOW,2.7,"scipy:1.3.0 has CVE-2022-1036 (CVSS 1.8, LOW). No patch available. [risk model confidence: 92%]"
DEP-0165,APP-004,HRPortal,moment,2.6.3,False,NONE,NONE,0.0,
DEP-0166,APP-004,HRPortal,fastapi,5.1.4,False,NONE,NONE,0.0,
DEP-0167,APP-004,HRPortal,twisted,3.11.1,True,LICENSE_CONFLICT,CRITICAL,8.0,AGPL-3.0 license is incompatible with proprietary app HRPortal.
DEP-0168,APP-004,HRPortal,pyjwt,5.2.2,True,VULNERABLE_DEPENDENCY,HIGH,10.95,"pyjwt:5.2.2 has CVE-2025-1123 (CVSS 7.3, HIGH). No patch available. [risk model confidence: 100%]"
DEP-0169,APP-004,HRPortal,uuid,1.8.6,False,NONE,NONE,0.0,
DEP-0170,APP-004,HRPortal,formidable,4.4.1,False,NONE,NONE,0.0,
DEP-0171,APP-004,HRPortal,pyyaml,5.10.7,True,VULNERABLE_DEPENDENCY,MEDIUM,9.45,"pyyaml:5.10.7 has CVE-2026-1067 (CVSS 6.3, MEDIUM). No patch available. [risk model confidence: 95%]"
DEP-0172,APP-004,HRPortal,idna,2.10.2,True,VULNERABLE_DEPENDENCY,MEDIUM,5.5,"idna:2.10.2 has CVE-2021-1088 (CVSS 5.5, MEDIUM). Patched in 5.6.0. [risk model confidence: 88%]"
